danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title,cluster,similarity_score
0.883,0.465,11,0.33204254922086424,1,0.367,0.0148,0.0,0.175,0.856,0.8563879965718583,audio_features,56hyMlVcfBJIBgSmmZM3qE,spotify:track:56hyMlVcfBJIBgSmmZM3qE,https://api.spotify.com/v1/tracks/56hyMlVcfBJIBgSmmZM3qE,https://api.spotify.com/v1/audio-analysis/56hyMlVcfBJIBgSmmZM3qE,319360,4,Hiphop,Don't Believe The Hype,,,1,0.02399333942286048
0.919,0.465,9,0.5711952971913783,0,0.4,0.28,0.0,0.146,0.629,0.824770172701881,audio_features,6JMIaVMbh5emijDiBODgit,spotify:track:6JMIaVMbh5emijDiBODgit,https://api.spotify.com/v1/tracks/6JMIaVMbh5emijDiBODgit,https://api.spotify.com/v1/audio-analysis/6JMIaVMbh5emijDiBODgit,308558,4,Hiphop,South Bronx,,,1,0.023977737965785346
0.482,0.6609999999999999,0,0.5709153681067464,0,0.3229999999999999,0.185,0.0,0.0804,0.246,0.8017596971397215,audio_features,6HePVKyIeL20JWLVthsU9c,spotify:track:6HePVKyIeL20JWLVthsU9c,https://api.spotify.com/v1/tracks/6HePVKyIeL20JWLVthsU9c,https://api.spotify.com/v1/audio-analysis/6HePVKyIeL20JWLVthsU9c,219427,4,RnB,Just Can’t Get Enough,,,1,0.02397109555863046
0.748,0.705,4,0.7621535877577681,0,0.485,0.204,0.0,0.246,0.483,0.8134067465333225,audio_features,1EaKU4dMbesXXd3BrLCtYG,spotify:track:1EaKU4dMbesXXd3BrLCtYG,https://api.spotify.com/v1/tracks/1EaKU4dMbesXXd3BrLCtYG,https://api.spotify.com/v1/audio-analysis/1EaKU4dMbesXXd3BrLCtYG,208733,4,Rap,ELEMENT.,,,1,0.023969005169225954
0.452,0.574,6,0.5853783708127275,1,0.31,0.246,0.0,0.1889999999999999,0.58,0.7868386492135621,audio_features,4SRqDmPxYX0pUb5B5ut2Ri,spotify:track:4SRqDmPxYX0pUb5B5ut2Ri,https://api.spotify.com/v1/tracks/4SRqDmPxYX0pUb5B5ut2Ri,https://api.spotify.com/v1/audio-analysis/4SRqDmPxYX0pUb5B5ut2Ri,207187,4,RnB,So Sick,,,1,0.023966288578697353
