danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title,cluster,similarity_score
0.561,0.604,8,0.6834468601287674,1,0.254,0.148,0.0,0.737,0.703,0.9587883122568391,audio_features,4ylOLt7XCUxq4UTsh08uF4,spotify:track:4ylOLt7XCUxq4UTsh08uF4,https://api.spotify.com/v1/tracks/4ylOLt7XCUxq4UTsh08uF4,https://api.spotify.com/v1/audio-analysis/4ylOLt7XCUxq4UTsh08uF4,246045,5,RnB,Dangerous City (feat. Buju Banton),,,7,0.0240118273328647
0.539,0.949,5,0.7769431743958198,0,0.0711,0.000181,2.3800000000000003e-05,0.746,0.747,0.9182548539648675,audio_features,6lI60Z5UEtARdwQfdBYjuD,spotify:track:6lI60Z5UEtARdwQfdBYjuD,https://api.spotify.com/v1/tracks/6lI60Z5UEtARdwQfdBYjuD,https://api.spotify.com/v1/audio-analysis/6lI60Z5UEtARdwQfdBYjuD,180554,4,Emo,Voldemort,,,7,0.023996659791571055
0.517,0.897,2,0.6917980778202857,1,0.255,0.584,0.0,0.69,0.381,0.9035557720409158,audio_features,1GS9WWgNkqhR45YcdGPnBW,spotify:track:1GS9WWgNkqhR45YcdGPnBW,https://api.spotify.com/v1/tracks/1GS9WWgNkqhR45YcdGPnBW,https://api.spotify.com/v1/audio-analysis/1GS9WWgNkqhR45YcdGPnBW,251933,4,Hiphop,Non Compos Mentis,,,7,0.023995390722596183
0.503,0.8809999999999999,0,0.7642530558925074,0,0.0827,0.0261,0.0,0.482,0.597,0.8885360725582196,audio_features,1Fu9o08qEKVEwzU8siVcig,spotify:track:1Fu9o08qEKVEwzU8siVcig,https://api.spotify.com/v1/tracks/1Fu9o08qEKVEwzU8siVcig,https://api.spotify.com/v1/audio-analysis/1Fu9o08qEKVEwzU8siVcig,187880,4,Emo,Situations,,,7,0.023989292146685746
0.424,0.539,7,0.0,1,0.286,0.144,0.0,0.965,0.366,0.80534814750874,audio_features,5AAHRAA47XXy86uF0AubA6,spotify:track:5AAHRAA47XXy86uF0AubA6,https://api.spotify.com/v1/tracks/5AAHRAA47XXy86uF0AubA6,https://api.spotify.com/v1/audio-analysis/5AAHRAA47XXy86uF0AubA6,152816,4,RnB,Nuthin' But A 'G' Thang,,,7,0.023986751605697364
