danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title,cluster,similarity_score
0.303,0.332,6,0.20584118689931896,0,0.032,0.00859,0.8640000000000001,0.0654,0.41,0.7268338399501809,audio_features,5BxHfyGk49gqbg5BdW6FO4,spotify:track:5BxHfyGk49gqbg5BdW6FO4,https://api.spotify.com/v1/tracks/5BxHfyGk49gqbg5BdW6FO4,https://api.spotify.com/v1/audio-analysis/5BxHfyGk49gqbg5BdW6FO4,257867,4,RnB,Summer Madness,,,2,0.02395800690792122
0.785,0.7929999999999999,1,0.6050200615843988,1,0.163,0.22,0.718,0.124,0.655,0.738881661292212,audio_features,0HOqINudNgQFpg1le5Hnqe,spotify:track:0HOqINudNgQFpg1le5Hnqe,https://api.spotify.com/v1/tracks/0HOqINudNgQFpg1le5Hnqe,https://api.spotify.com/v1/audio-analysis/0HOqINudNgQFpg1le5Hnqe,310600,4,Hiphop,Damn It Feels Good to Be a Gangsta,,,2,0.02395089590000757
0.499,0.99,4,0.7902864607632735,1,0.165,0.0012,0.7829999999999999,0.7340000000000001,0.441,0.6734880107530195,audio_features,0gCh1jAhL3IwbNZccxOTCd,spotify:track:0gCh1jAhL3IwbNZccxOTCd,https://api.spotify.com/v1/tracks/0gCh1jAhL3IwbNZccxOTCd,https://api.spotify.com/v1/audio-analysis/0gCh1jAhL3IwbNZccxOTCd,50720,4,Emo,States and Minds,,,2,0.02392566559117798
0.65,0.495,0,0.6764019781655315,0,0.0451,0.523,0.723,0.123,0.3939999999999999,0.6295017479822673,audio_features,2vWxvpycD0ELvOJr6g4pQt,spotify:track:2vWxvpycD0ELvOJr6g4pQt,https://api.spotify.com/v1/tracks/2vWxvpycD0ELvOJr6g4pQt,https://api.spotify.com/v1/audio-analysis/2vWxvpycD0ELvOJr6g4pQt,155960,4,Hiphop,WEIGHT OFF,,,2,0.02391742608181999
0.44,0.446,9,0.5111038536903985,1,0.031,0.39,0.569,0.179,0.201,0.4279319550888789,audio_features,0DoACS30GwIY6qaFjCMMUz,spotify:track:0DoACS30GwIY6qaFjCMMUz,https://api.spotify.com/v1/tracks/0DoACS30GwIY6qaFjCMMUz,https://api.spotify.com/v1/audio-analysis/0DoACS30GwIY6qaFjCMMUz,475093,4,Emo,Transatlanticism,,,2,0.023865219815822035
