danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title,cluster,similarity_score
0.5710000000000001,0.505,1,0.5398432397126063,0,0.0238,0.0757,1.04e-05,0.109,0.276,0.8703348603772187,audio_features,21jEuMn2lf37715rwjow2M,spotify:track:21jEuMn2lf37715rwjow2M,https://api.spotify.com/v1/tracks/21jEuMn2lf37715rwjow2M,https://api.spotify.com/v1/audio-analysis/21jEuMn2lf37715rwjow2M,269467,4,Emo,The Freshmen,,,6,0.02399125119679475
0.7659999999999999,0.408,0,0.473966595129234,1,0.0839,0.0014199999999999,0.000998,0.115,0.15,0.8506168805144678,audio_features,74bV6EDlAPx3IQWZjpRw82,spotify:track:74bV6EDlAPx3IQWZjpRw82,https://api.spotify.com/v1/tracks/74bV6EDlAPx3IQWZjpRw82,https://api.spotify.com/v1/audio-analysis/74bV6EDlAPx3IQWZjpRw82,240000,4,RnB,Not Ashamed,,,6,0.023987610610866673
0.524,0.496,1,0.4809648222450313,1,0.0809,0.181,0.0,0.0973,0.473,0.8350669289153878,audio_features,235PFlMkbjOvRFBYXzizpx,spotify:track:235PFlMkbjOvRFBYXzizpx,https://api.spotify.com/v1/tracks/235PFlMkbjOvRFBYXzizpx,https://api.spotify.com/v1/audio-analysis/235PFlMkbjOvRFBYXzizpx,120059,4,RnB,Ride the Bull,,,6,0.023982919865230823
0.765,0.29,4,0.17570215545395174,0,0.139,0.0279,1.02e-06,0.5710000000000001,0.506,0.78212803738894,audio_features,0Q0IVlqMV64kNLlwjPj0Hl,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,https://api.spotify.com/v1/tracks/0Q0IVlqMV64kNLlwjPj0Hl,https://api.spotify.com/v1/audio-analysis/0Q0IVlqMV64kNLlwjPj0Hl,298773,4,Hiphop,Killing Me Softly With His Song,,,6,0.023976099275089983
0.613,0.614,1,0.6367453578426799,1,0.0439,0.0143,0.0,0.094,0.198,0.801550062582081,audio_features,3f1ChZHm6v4KdUaEW5y5qd,spotify:track:3f1ChZHm6v4KdUaEW5y5qd,https://api.spotify.com/v1/tracks/3f1ChZHm6v4KdUaEW5y5qd,https://api.spotify.com/v1/audio-analysis/3f1ChZHm6v4KdUaEW5y5qd,224813,4,Hiphop,Me and You,,,6,0.023968753940011918
